weighted directed
264 1055 90
264 1056 80
264 1057 97
265 1058 10
265 1059 36
265 1060 71
265 1061 36
266 1062 32
266 1063 39
266 1064 74
266 1065 78
267 1066 41
267 1067 81
267 1068 61
267 1069 65
268 1070 46
268 1071 62
268 1072 47
268 1073 37
269 1074 8
269 1075 48
269 1076 31
269 1077 50
270 1078 97
270 1079 11
270 1080 30
270 1081 31
271 1082 82
271 1083 9
271 1084 100
271 1085 31
272 1086 55
272 1087 70
272 1088 19
272 1089 12
273 1090 82
273 1091 40
273 1092 61
273 1093 22
274 1094 52
274 1095 23
274 1096 50
274 1097 70
275 1098 28
275 1099 39
275 1100 63
275 1101 11
276 1102 73
276 1103 78
276 1104 63
276 1105 25
277 1106 22
277 1107 11
277 1108 14
277 1109 42
278 1110 36
278 1111 51
278 1112 87
278 1113 15
279 1114 98
279 1115 17
279 1116 82
279 1117 35
280 1118 50
280 1119 50
280 1120 99
280 1121 10
281 1122 1
281 1123 34
281 1124 92
281 1125 95
282 1126 98
282 1127 31
282 1128 84
282 1129 71
283 1130 7
283 1131 95
283 1132 3
283 1133 24
284 1134 34
284 1135 78
284 1136 69
284 1137 4
285 1138 82
285 1139 14
285 1140 21
285 1141 95
286 1142 87
286 1143 14
286 1144 15
286 1145 21
287 1146 94
287 1147 38
287 1148 58
287 1149 74
288 1150 63
288 1151 58
288 1152 71
288 1153 33
289 1154 82
289 1155 36
289 1156 3
289 1157 41
290 1158 11
290 1159 94
290 1160 6
290 1161 66
291 1162 7
291 1163 64
291 1164 89
291 1165 28
292 1166 3
292 1167 6
292 1168 98
292 1169 46
293 1170 99
293 1171 12
293 1172 15
293 1173 72
294 1174 46
294 1175 30
294 1176 27
294 1177 22
295 1178 37
295 1179 100
295 1180 48
295 1181 43
296 1182 4
296 1183 12
296 1184 18
296 1185 72
297 1186 64
297 1187 33
297 1188 54
297 1189 15
298 1190 67
298 1191 97
298 1192 90
298 1193 25
299 1194 87
299 1195 93
299 1196 2
299 1197 99
300 1198 70
300 1199 21
300 1200 89
300 1201 57
301 1202 5
301 1203 50
301 1204 65
301 1205 99
302 1206 30
302 1207 7
302 1208 81
302 1209 76
303 1210 41
303 1211 98
303 1212 46
303 1213 0
304 1214 31
304 1215 60
304 1216 85
304 1217 36
305 1218 39
305 1219 20
305 1220 43
305 1221 34
306 1222 72
306 1223 2
306 1224 36
306 1225 60
307 1226 96
307 1227 66
307 1228 10
307 1229 15
308 1230 53
308 1231 61
308 1232 0
308 1233 5
309 1234 62
309 1235 12
309 1236 6
309 1237 62
310 1238 86
310 1239 29
310 1240 35
310 1241 64
311 1242 14
311 1243 49
311 1244 1
311 1245 34
312 1246 14
312 1247 17
312 1248 27
312 1249 94
313 1250 24
313 1251 45
313 1252 49
313 1253 80
314 1254 87
314 1255 68
314 1256 45
314 1257 26
315 1258 28
315 1259 97
315 1260 84
315 1261 75
316 1262 76
316 1263 2
316 1264 23
316 1265 86
317 1266 6
317 1267 34
317 1268 63
317 1269 35
318 1270 50
318 1271 86
318 1272 76
318 1273 56
319 1274 36
319 1275 73
319 1276 53
319 1277 26
320 1278 44
320 1279 52
320 1280 98
320 1281 49
321 1282 18
321 1283 50
321 1284 31
321 1285 40
322 1286 98
322 1287 49
322 1288 91
322 1289 43
323 1290 2
323 1291 60
323 1292 77
323 1293 21
324 1294 15
324 1295 25
324 1296 87
324 1297 60
325 1298 61
325 1299 77
325 1300 14
325 1301 44
326 1302 4
326 1303 30
326 1304 33
326 1305 79
327 1306 67
327 1307 79
327 1308 80
327 1309 61
328 1310 27
328 1311 58
328 1312 95
328 1313 25
329 1314 44
329 1315 67
329 1316 41
329 1317 83
330 1318 66
330 1319 33
330 1320 45
330 1321 91
331 1322 38
331 1323 84
331 1324 89
331 1325 75
332 1326 49
332 1327 77
332 1328 3
332 1329 18
333 1330 1
333 1331 80
333 1332 18
333 1333 96
334 1334 99
334 1335 60
334 1336 55
334 1337 26
335 1338 12
335 1339 91
335 1340 33
335 1341 34
336 1342 25
336 1343 100
336 1344 47
336 1345 70
337 1346 48
337 1347 38
337 1348 45
337 1349 84
338 1350 19
338 1351 89
338 1352 61
338 1353 23
339 1354 55
339 1355 93
339 1356 30
339 1357 80
340 1358 98
340 1359 8
340 1360 66
340 1361 46
341 1362 1
341 1363 53
341 1364 72
341 1365 88
342 1366 94
342 1367 77
342 1368 32
342 1369 61
343 1370 66
343 1371 23
343 1372 77
343 1373 97
344 1374 96
344 1375 14
344 1376 73
344 1377 62
345 1378 47
345 1379 24
345 1380 44
345 1381 82
346 1382 19
346 1383 16
346 1384 54
346 1385 42
347 1386 26
347 1387 54
347 1388 42
347 1389 8
348 1390 71
348 1391 91
348 1392 88
348 1393 33
349 1394 5
349 1395 14
349 1396 69
349 1397 16
350 1398 79
350 1399 42
350 1400 22
350 1401 38
351 1402 40
351 1403 72
351 1404 83
351 1405 88
352 1406 15
352 1407 29
352 1408 84
352 1409 6
353 1410 73
353 1411 41
353 1412 78
353 1413 45
354 1414 91
354 1415 63
354 1416 92
354 1417 99
355 1418 43
355 1419 28
355 1420 42
355 1421 96
356 1422 16
356 1423 49
356 1424 7
356 1425 4
357 1426 47
357 1427 40
357 1428 27
357 1429 0
358 1430 57
358 1431 21
358 1432 33
358 1433 11
359 1434 92
359 1435 78
359 1436 31
359 1437 48
360 1438 91
360 1439 9
360 1440 84
360 1441 20
361 1442 87
361 1443 83
361 1444 69
361 1445 6
362 1446 34
362 1447 37
362 1448 78
362 1449 49
363 1450 84
363 1451 24
363 1452 98
363 1453 37
364 1454 5
364 1455 75
364 1456 53
364 1457 71
365 1458 88
365 1459 45
365 1460 96
365 1461 51
366 1462 89
366 1463 61
366 1464 68
366 1465 83
367 1466 30
367 1467 76
367 1468 23
367 1469 46
368 1470 99
368 1471 76
368 1472 10
368 1473 31
369 1474 47
369 1475 12
369 1476 1
369 1477 98
370 1478 26
370 1479 64
370 1480 87
370 1481 6
371 1482 90
371 1483 24
371 1484 24
371 1485 72
372 1486 25
372 1487 34
372 1488 93
372 1489 58
373 1490 64
373 1491 67
373 1492 33
373 1493 72
374 1494 18
374 1495 31
374 1496 91
374 1497 28
375 1498 1
375 1499 25
375 1500 63
375 1501 4
376 1502 67
376 1503 49
376 1504 78
376 1505 100
377 1506 82
377 1507 87
377 1508 26
377 1509 81
378 1510 98
378 1511 23
378 1512 66
378 1513 66
379 1514 78
379 1515 44
379 1516 42
379 1517 56
380 1518 90
380 1519 90
380 1520 64
380 1521 9
381 1522 4
381 1523 94
381 1524 40
381 1525 11
382 1526 95
382 1527 67
382 1528 71
382 1529 63
383 1530 77
383 1531 11
383 1532 96
383 1533 21
384 1534 91
384 1535 93
384 1536 59
384 1537 52
385 1538 54
385 1539 7
385 1540 47
385 1541 28
386 1542 100
386 1543 3
386 1544 69
386 1545 98
387 1546 83
387 1547 33
387 1548 65
387 1549 74
388 1550 47
388 1551 88
388 1552 16
388 1553 98
389 1554 59
389 1555 86
389 1556 71
389 1557 34
390 1558 10
390 1559 29
390 1560 66
390 1561 81
391 1562 77
391 1563 91
391 1564 77
391 1565 61
392 1566 47
392 1567 87
392 1568 76
392 1569 33
393 1570 7
393 1571 52
393 1572 10
393 1573 68
394 1574 39
394 1575 31
394 1576 91
394 1577 68
395 1578 100
395 1579 68
395 1580 56
395 1581 87
396 1582 97
396 1583 28
396 1584 38
396 1585 65
397 1586 13
397 1587 31
397 1588 57
397 1589 65
398 1590 44
398 1591 14
398 1592 13
398 1593 54
399 1594 9
399 1595 54
399 1596 54
399 1597 49
400 1598 58
400 1599 44
400 1600 46
400 1601 53
401 1602 88
401 1603 89
401 1604 17
401 1605 92
402 1606 1
402 1607 26
402 1608 12
402 1609 10
403 1610 94
403 1611 44
403 1612 59
403 1613 86
404 1614 39
404 1615 66
404 1616 54
404 1617 24
405 1618 35
405 1619 17
405 1620 75
405 1621 69
406 1622 97
406 1623 43
406 1624 56
406 1625 99
407 1626 11
407 1627 10
407 1628 77
407 1629 26
408 1630 45
408 1631 8
408 1632 84
408 1633 79
409 1634 17
409 1635 83
409 1636 87
409 1637 65
410 1638 6
410 1639 90
410 1640 1
410 1641 30
411 1642 68
411 1643 45
411 1644 77
411 1645 52
412 1646 87
412 1647 18
412 1648 37
412 1649 87
413 1650 29
413 1651 70
413 1652 16
413 1653 24
414 1654 15
414 1655 26
414 1656 28
414 1657 31
415 1658 30
415 1659 18
415 1660 76
415 1661 62
416 1662 92
416 1663 93
416 1664 19
416 1665 6
417 1666 100
417 1667 97
417 1668 14
417 1669 11
418 1670 16
418 1671 71
418 1672 33
418 1673 64
419 1674 46
419 1675 72
419 1676 89
419 1677 78
420 1678 44
420 1679 49
420 1680 26
420 1681 59
421 1682 65
421 1683 1
421 1684 98
421 1685 12
422 1686 54
422 1687 10
422 1688 59
422 1689 63
423 1690 48
423 1691 7
423 1692 2
423 1693 90
424 1694 76
424 1695 7
424 1696 91
424 1697 14
425 1698 69
425 1699 64
425 1700 22
425 1701 48
426 1702 22
426 1703 46
426 1704 4
426 1705 37
427 1706 93
427 1707 23
427 1708 70
427 1709 92
428 1710 99
428 1711 67
428 1712 3
428 1713 36
429 1714 35
429 1715 44
429 1716 64
429 1717 55
430 1718 41
430 1719 93
430 1720 24
430 1721 61
431 1722 84
431 1723 71
431 1724 58
431 1725 67
432 1726 78
432 1727 19
432 1728 15
432 1729 38
433 1730 75
433 1731 78
433 1732 72
433 1733 35
434 1734 82
434 1735 19
434 1736 39
434 1737 13
435 1738 77
435 1739 32
435 1740 63
435 1741 65
436 1742 73
436 1743 7
436 1744 83
436 1745 73
437 1746 9
437 1747 42
437 1748 2
437 1749 79
438 1750 9
438 1751 44
438 1752 66
438 1753 94
439 1754 78
439 1755 77
439 1756 1
439 1757 38
440 1758 36
440 1759 49
440 1760 79
440 1761 70
441 1762 91
441 1763 18
441 1764 0
441 1765 83
442 1766 23
442 1767 48
442 1768 36
442 1769 49
443 1770 6
443 1771 20
443 1772 17
443 1773 81
444 1774 77
444 1775 53
444 1776 25
444 1777 45
445 1778 46
445 1779 58
445 1780 84
445 1781 17
446 1782 71
446 1783 4
446 1784 82
446 1785 61
447 1786 59
447 1787 23
447 1788 39
447 1789 20
448 1790 27
448 1791 97
448 1792 56
448 1793 97
449 1794 68
449 1795 59
449 1796 62
449 1797 90
450 1798 43
450 1799 42
450 1800 2
450 1801 93
451 1802 51
451 1803 55
451 1804 26
451 1805 50
452 1806 37
452 1807 39
452 1808 78
452 1809 52
453 1810 89
453 1811 33
453 1812 0
453 1813 100
454 1814 41
454 1815 95
454 1816 64
454 1817 30
455 1818 74
455 1819 96
455 1820 98
455 1821 13
456 1822 54
456 1823 44
456 1824 72
456 1825 81
457 1826 10
457 1827 42
457 1828 7
457 1829 87
458 1830 55
458 1831 99
458 1832 11
458 1833 82
459 1834 69
459 1835 52
459 1836 3
459 1837 87
460 1838 8
460 1839 30
460 1840 32
460 1841 8
461 1842 11
461 1843 25
461 1844 20
461 1845 34
462 1846 95
462 1847 43
462 1848 26
462 1849 57
463 1850 66
463 1851 62
463 1852 56
463 1853 7
464 1854 35
464 1855 37
464 1856 31
464 1857 20
465 1858 26
465 1859 20
465 1860 10
465 1861 4
466 1862 83
466 1863 98
466 1864 71
466 1865 92
467 1866 89
467 1867 8
467 1868 85
467 1869 40
468 1870 41
468 1871 48
468 1872 55
468 1873 40
469 1874 38
469 1875 4
469 1876 85
469 1877 79
470 1878 94
470 1879 1
470 1880 2
470 1881 84
471 1882 73
471 1883 87
471 1884 4
471 1885 75
472 1886 31
472 1887 93
472 1888 25
472 1889 88
473 1890 20
473 1891 97
473 1892 98
473 1893 56
474 1894 8
474 1895 0
474 1896 51
474 1897 92
475 1898 62
475 1899 72
475 1900 7
475 1901 46
476 1902 10
476 1903 80
476 1904 87
476 1905 100
477 1906 57
477 1907 52
477 1908 21
477 1909 54
478 1910 89
478 1911 99
478 1912 1
478 1913 20
479 1914 91
479 1915 39
479 1916 26
479 1917 48
480 1918 65
480 1919 39
480 1920 28
480 1921 51
481 1922 39
481 1923 34
481 1924 36
481 1925 1
482 1926 35
482 1927 5
482 1928 98
482 1929 80
483 1930 31
483 1931 35
483 1932 4
483 1933 19
484 1934 56
484 1935 82
484 1936 24
484 1937 82
485 1938 23
485 1939 13
485 1940 61
485 1941 87
486 1942 72
486 1943 20
486 1944 35
486 1945 27
487 1946 91
487 1947 62
487 1948 73
487 1949 98
488 1950 44
488 1951 32
488 1952 31
488 1953 22
489 1954 41
489 1955 64
489 1956 21
489 1957 95
490 1958 1
490 1959 10
490 1960 71
490 1961 3
491 1962 96
491 1963 62
491 1964 64
491 1965 93
492 1966 98
492 1967 60
492 1968 38
492 1969 24
493 1970 3
493 1971 51
493 1972 47
493 1973 31
494 1974 12
494 1975 31
494 1976 77
494 1977 73
495 1978 1
495 1979 91
495 1980 54
495 1981 31
496 1982 69
496 1983 21
496 1984 38
496 1985 34
497 1986 75
497 1987 99
497 1988 41
497 1989 58
498 1990 36
498 1991 47
498 1992 12
498 1993 35
499 1994 30
499 1995 52
499 1996 32
499 1997 99
500 1998 36
500 1999 100
500 2000 7
500 2001 12
501 2002 80
501 2003 4
501 2004 19
501 2005 54
502 2006 56
502 2007 31
502 2008 8
502 2009 47
503 2010 98
503 2011 37
503 2012 5
503 2013 20
504 2014 73
504 2015 59
504 2016 88
504 2017 20
505 2018 46
505 2019 78
505 2020 48
505 2021 50
506 2022 62
506 2023 2
506 2024 86
506 2025 61
507 2026 98
507 2027 37
507 2028 72
507 2029 47
508 2030 6
508 2031 12
508 2032 31
508 2033 73
509 2034 3
509 2035 76
509 2036 60
509 2037 61
510 2038 81
510 2039 28
510 2040 47
510 2041 41
511 2042 100
511 2043 43
511 2044 41
511 2045 32
512 2046 62
512 2047 95
512 2048 14
512 2049 40
513 2050 45
513 2051 71
513 2052 51
513 2053 63
514 2054 17
514 2055 91
514 2056 77
514 2057 82
515 2058 65
515 2059 83
515 2060 76
515 2061 59
516 2062 53
516 2063 91
516 2064 77
516 2065 32
517 2066 17
517 2067 18
517 2068 72
517 2069 48
518 2070 35
518 2071 88
518 2072 26
518 2073 13
519 2074 67
519 2075 47
519 2076 17
519 2077 97
520 2078 9
520 2079 83
520 2080 43
520 2081 8
521 2082 73
521 2083 2
521 2084 30
521 2085 4
522 2086 82
522 2087 62
522 2088 80
522 2089 49
523 2090 26
523 2091 66
523 2092 89
523 2093 30
524 2094 65
524 2095 84
524 2096 2
524 2097 51
525 2098 88
525 2099 94
525 2100 10
525 2101 80
526 2102 7
526 2103 45
526 2104 12
526 2105 68
527 2106 78
527 2107 66
527 2108 84
527 2109 50
528 2110 95
528 2111 49
528 2112 46
528 2113 95
529 2114 36
529 2115 85
529 2116 99
529 2117 10
530 2118 3
530 2119 83
530 2120 10
530 2121 78
531 2122 37
531 2123 3
531 2124 87
531 2125 8
532 2126 100
532 2127 41
532 2128 59
532 2129 22
533 2130 57
533 2131 79
533 2132 26
533 2133 6
534 2134 82
534 2135 79
534 2136 7
534 2137 35
535 2138 70
535 2139 2
535 2140 33
535 2141 86
